Product,RevenueRank,WinLoss,Count
Digital Media Services,5,Win,34860
Managed Network,3,Win,50911
Professional Services,2,Win,30835
Security Cloud and IT Services,1,Win,33407
Strategic CPE,4,Win,38505
Digital Media Services,5,Loss,22071
Managed Network,3,Loss,17122
Professional Services,2,Loss,15170
Security Cloud and IT Services,1,Loss,21966
Strategic CPE,4,Loss,13250
