Products,percent
Professional Services,59.9
Strategic Networking,86.5
Managed Network,47.2
Wireless,95.5
Security Cloud and IT Services,25.1
Core Voice Services,96.6
Strategic Communications,51.5
Core Data Networking,53.4
Strategic CPE,58.7
Core CPE,94.4
Digital Media Services,72.8
Strategic FiOS Services,92.5
Other & Miscellaneous,82.7
Security and IT Solutions,99.7
