Products,percent
Digital Media Services,69.04
Managed Network,74.82
Professional Services,73.27
Security Cloud and IT Services,73.34
Strategic CPE,70.4
Strategic FiOS Services,73.18
Strategic Networking,74.66
Wireless,74.34
Core CPE,64.31
Core Voice Services,73.21
